comid,huc8_from,huc8_to
19474715,08040205,08040202
20091394,08070203,08070204
21811226,08040203,08040204
21816178,08040204,08040202
21956446,08040201,08040202
22012822,08040102,08040201
22711206,08040103,08040102
22783710,08090203, 
22799299,08070100,08090100
22811993,08090100, 
22865357,08020205,08020203
25386875,08080103,08080102
25386919,08080102,08080101
25388456,08080202, 
25722340,08020302,08020301
25827824,08020301,08020303
167578935,08090202,08090203
938030606,08030206,08030208
938090258,08090301, 
6636028,09020101,09020104
6647250,09020102,09020101
6658065,09020103,09020104
6666983,09020104,09020107
6672212,09020105,09020104
6685307,09020106,09020107
6696224,09020107,09020301
7026309,09020108,09020107
7039505,09020303,09020301
7047635,09020304,09020303
7053799,09020305,09020303
7065872,09020306,09020311
7066766,09020301,09020306
7068833,09020309,09020306
7077396,09020311, 
7082198,09020312,09020311
7088581,09020314,09020311
7151418,09030001,09030003
7151996,09030003,09030008
7156402,09030002,09030001
7163930,09030005,09030008
7741488,09030007,09030008
7746515,09030008,09030009
9305540,09040001, 
14043145,09010006,09010008
14045517,09010007,09010008
14050277,09010008,09010003
14145293,09020109,09020107
14150256,09010005,09010003
14156822,09010004,09010003
14185392,09010002,09010008
14267470,09020202,09020203
14270822,09020203,09020204
14301857,09020201, 
14412583,09020315,09020316
14416941,09020316,09020311
14428520,09020310,09020311
14434933,09020308,09020306
14439152,09020307,09020306
14825379,09020204,09020104
14828065,09020205,09020204
22194346,09020302,09020303
22235756,09030006,09030008
24748285,09040002, 
167200737,09030009, 
939010254,09010003, 
-126436,10050003, 
14962,10190006,10190003
188619,10190002,10190003
240302,10020003,10020002
660004,10240004,10240005
748073,10270103,10270104
2255489,10240011,10300101
2279165,10270205,10270102
2334431,10290108,10290105
2502053,10240010,10240005
2530517,10240012,10240011
2878711,10190009,10190003
2882243,10190010,10190003
2885882,10190004,10190003
2890930,10190005,10190003
2903809,10190007,10190003
2920521,10190008,10190003
2962918,10070001,10070002
2984362,10290105,10290109
2997830,10290102,10290103
2997842,10290103,10290105
3014997,10060005,10110101
3018736,10030101,10030102
3067050,10020007,10030101
3102437,10060006,10060005
3541589,10260015,10260008
3560544,10190013,10190012
3561604,10190003,10190012
3646852,10270102,10270104
3723589,10240013,10240012
3737691,10270104,10300101
4024837,10270207,10270205
4054873,10190011,10190012
4064316,10070003,10070002
4170578,10020001,10020002
4213038,10020002,10020005
4228038,10020004,10020005
4319868,10020005,10030101
4334647,10020006,10020005
4340768,10070002,10070004
4342988,10070004,10070007
4346842,10070006,10070004
4384245,10300101,10300102
4401165,10280202,10300101
4428643,10080014,10080010
4463594,10280203,10300102
5108520,10280101,10280103
5125496,10280201,10280202
5141615,10280102,10280101
5160333,10300102,10300200
